round_epochs,loss,accuracy,first_neuron,kernel_initializer,lr
10,2.6014551391346474,0.9835391,32,uniform,0.8
10,0.6047419192306679,0.9814815,32,uniform,0.8666666666666667
10,0.12099579171289,0.99176955,32,uniform,0.9333333333333333
10,2.101327213403702,0.99176955,64,uniform,0.8
10,13.24000275169616,0.93621397,64,uniform,0.8666666666666667
10,6.107697808695938,0.98971194,64,uniform,0.9333333333333333
10,19.392140863363636,0.9691358,128,uniform,0.8
10,1.7680473942999486,0.9835391,128,uniform,0.8666666666666667
10,2.6769042932193674,0.97325104,128,uniform,0.9333333333333333
10,11.332124476570161,0.9794239,256,uniform,0.8
10,2.2911053233676486,0.97325104,256,uniform,0.8666666666666667
10,0.8318790388830325,0.9979424,256,uniform,0.9333333333333333
10,2.5854001155306956,0.95679015,512,uniform,0.8
10,0.193348463331342,0.86213994,512,uniform,0.8666666666666667
10,0.3577621588418589,0.9506173,512,uniform,0.9333333333333333
